"filename", "language", "YAML", "TypeScript", "Markdown", "JSON with Comments", "MS SQL", "Docker", "JSON", "Java", "HTML", "JavaScript", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\FlowBootstrap-feff2646.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\FlowClient-341d667e.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\generated-flow-imports-106908f9.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12588, 0, 0, 387, 1662, 14637
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\indexhtml-91eb2a0e.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1719, 0, 0, 10, 181, 1910
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-accordion-eed3b794-341a9457.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-accordion-heading-c0acdd6d-871eeaba.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-accordion-panel-616e55d6-480069c8.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-app-layout-e56de2e9-a2d25fa7.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-avatar-7599297d-f7e1161e.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-big-decimal-field-e51def24-bf9a2c6b.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
