"filename", "language", "XML", "TypeScript", "HTML", "JSON", "JSON with Comments", "PostCSS", "Markdown", "Java", "JavaScript", "comment", "blank", "total"
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-password-field-d289cb18-ca613e5e.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-progress-bar-309ecf1f-274340d1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-radio-group-88b5afd8-378ab685.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-rich-text-editor-8cd892f2-e72983b5.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-scroller-35e68818-0566c0ec.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-select-df6e9947-5abad914.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-side-nav-ba80d91d-fdbdb84a.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-side-nav-item-34918f92-11bed14d.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-split-layout-80c92131-355c5ade.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-spreadsheet-59d8c5ef-ed96b905.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-tab-aaf32809-efeaf406.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-tabs-d9a5e24e-4b0edac8.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-tabsheet-dd99ed9a-82f72272.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\vikgo\Desktop\Projekt\repogit\Fallstudie_Hotel\Fallstudie_Hotel\src\main\dev-bundle\webapp\VAADIN\build\vaadin-text-area-83627ebc-b2d0cf09.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
